município,ano,sigla,idhm_e,idhm_l,idhm_r,idhm
ALTA FLORESTA D'OESTE,1991,RO,0.112,0.617,0.516,0.329
ARIQUEMES,1991,RO,0.199,0.684,0.593,0.432
CABIXI,1991,RO,0.108,0.636,0.43,0.309
CACOAL,1991,RO,0.171,0.667,0.593,0.407
CEREJEIRAS,1991,RO,0.167,0.629,0.547,0.386
COLORADO DO OESTE,1991,RO,0.151,0.658,0.536,0.376
CORUMBIARA,1991,RO,0.039,0.572,0.373,0.203
COSTA MARQUES,1991,RO,0.22,0.629,0.553,0.425
ESPIGÃO D'OESTE,1991,RO,0.159,0.653,0.561,0.388
GUAJARÁ-MIRIM,1991,RO,0.247,0.662,0.625,0.468
JARU,1991,RO,0.124,0.658,0.534,0.352
JI-PARANÁ,1991,RO,0.209,0.659,0.589,0.433
MACHADINHO D'OESTE,1991,RO,0.074,0.591,0.533,0.286
NOVA BRASILÂNDIA D'OESTE,1991,RO,0.079,0.607,0.421,0.272
OURO PRETO DO OESTE,1991,RO,0.155,0.629,0.57,0.382
PIMENTA BUENO,1991,RO,0.185,0.629,0.599,0.412
PORTO VELHO,1991,RO,0.29,0.633,0.66,0.495
PRESIDENTE MÉDICI,1991,RO,0.128,0.647,0.507,0.348
RIO CRESPO,1991,RO,0.065,0.578,0.461,0.259
ROLIM DE MOURA,1991,RO,0.153,0.665,0.554,0.383
SANTA LUZIA D'OESTE,1991,RO,0.1,0.572,0.422,0.289
VILHENA,1991,RO,0.284,0.665,0.655,0.498
SÃO MIGUEL DO GUAPORÉ,1991,RO,0.066,0.559,0.433,0.252
NOVA MAMORÉ,1991,RO,0.134,0.547,0.517,0.336
ALVORADA D'OESTE,1991,RO,0.112,0.598,0.458,0.313
ALTO ALEGRE DOS PARECIS,1991,RO,0.054,0.572,0.451,0.241
ALTO PARAÍSO,1991,RO,0.074,0.578,0.454,0.269
BURITIS,1991,RO,0.113,0.638,0.474,0.325
NOVO HORIZONTE DO OESTE,1991,RO,0.038,0.572,0.362,0.199
CACAULÂNDIA,1991,RO,0.079,0.609,0.47,0.283
CAMPO NOVO DE RONDÔNIA,1991,RO,0.085,0.597,0.496,0.293
CANDEIAS DO JAMARI,1991,RO,0.143,0.578,0.595,0.366
CASTANHEIRAS,1991,RO,0.048,0.572,0.394,0.221
CHUPINGUAIA,1991,RO,0.068,0.616,0.529,0.281
CUJUBIM,1991,RO,0.05,0.629,0.425,0.237
